order_id,order_date,customer_city,customer_state,category,product_name,quantity,unit_price,total_amount,payment_method,rating
ORD00001,2024-02-22,Hyderabad,Telangana,Electronics,Smartphone,1,59453.26,59453.26,Debit Card,4.7
ORD00002,2024-11-04,Pune,Maharashtra,Sports,Dumbbells,1,608.29,608.29,UPI,3.0
ORD00003,2024-01-04,Hyderabad,Telangana,Grocery,Tea Powder,1,238.78,238.78,Net Banking,2.9
ORD00004,2024-02-17,Bengaluru,Karnataka,Home & Kitchen,Bedsheet,5,2585.55,12927.75,Credit Card,3.4
ORD00005,2024-07-12,Gurgaon,Haryana,Sports,Yoga Mat,2,8129.14,16258.28,UPI,3.2
ORD00006,2024-04-26,Hyderabad,Telangana,Sports,Yoga Mat,2,5900.32,11800.64,Net Banking,5.0
ORD00007,2024-03-24,Surat,Gujarat,Clothing,T-Shirt,1,2024.61,2024.61,Credit Card,3.0
ORD00008,2024-03-24,Noida,Uttar Pradesh,Grocery,Basmati Rice,1,324.11,324.11,Credit Card,3.2
ORD00009,2024-01-29,Jaipur,Rajasthan,Grocery,Tea Powder,1,148.83,148.83,UPI,2.6
ORD00010,2024-06-10,Gurgaon,Haryana,Books,Self-Help Book,4,146.33,585.32,UPI,3.7
ORD00011,2024-10-02,Jaipur,Rajasthan,Grocery,Spice Set,1,114.29,114.29,UPI,4.0
ORD00012,2024-09-09,Jaipur,Rajasthan,Sports,Dumbbells,5,3811.37,19056.85,UPI,2.6
ORD00013,2024-07-16,Pune,Maharashtra,Clothing,Sneakers,2,967.91,1935.82,Credit Card,5.0
ORD00014,2024-12-15,Chennai,Tamil Nadu,Home & Kitchen,Air Purifier,1,12953.46,12953.46,Cash on Delivery,4.4
ORD00015,2024-05-14,Ahmedabad,Gujarat,Grocery,Cooking Oil,1,100.2,100.2,EMI,4.4
ORD00016,2024-03-19,Chennai,Tamil Nadu,Electronics,Smartwatch,2,24226.36,48452.72,Credit Card,2.9
ORD00017,2024-07-04,Ahmedabad,Gujarat,Sports,Cricket Bat,1,6109.76,6109.76,Cash on Delivery,4.6
ORD00018,2024-09-05,Noida,Uttar Pradesh,Clothing,T-Shirt,2,1356.18,2712.36,Net Banking,4.9
ORD00019,2024-09-27,Chennai,Tamil Nadu,Clothing,Jeans,4,3366.8,13467.2,Cash on Delivery,3.6
ORD00020,2024-07-10,Delhi,Delhi,Sports,Badminton Racket,1,7215.61,7215.61,Credit Card,3.8
ORD00021,2024-10-28,Pune,Maharashtra,Clothing,Jeans,1,507.32,507.32,UPI,2.7
ORD00022,2024-09-20,Hyderabad,Telangana,Electronics,Laptop,1,5858.33,5858.33,UPI,4.2
ORD00023,2024-05-04,Delhi,Delhi,Sports,Badminton Racket,4,7316.52,29266.08,Net Banking,4.5
ORD00024,2024-01-28,Delhi,Delhi,Electronics,Smartphone,1,52889.13,52889.13,Debit Card,5.0
ORD00025,2024-04-08,Pune,Maharashtra,Electronics,Smart TV,3,58392.98,175178.94,UPI,3.6
ORD00026,2024-10-08,Bengaluru,Karnataka,Clothing,Kurta,4,2420.61,9682.44,UPI,4.1
ORD00027,2024-09-05,Chennai,Tamil Nadu,Electronics,Smartphone,3,74146.18,222438.54,Credit Card,4.7
ORD00028,2024-08-20,Jaipur,Rajasthan,Electronics,Laptop,5,30628.36,153141.8,UPI,4.2
ORD00029,2024-10-23,Kolkata,West Bengal,Sports,Dumbbells,1,1801.53,1801.53,Net Banking,2.7
ORD00030,2024-03-21,Gurgaon,Haryana,Electronics,Smartphone,2,46942.12,93884.24,UPI,3.8
ORD00031,2024-03-02,Surat,Gujarat,Clothing,T-Shirt,2,3056.17,6112.34,Cash on Delivery,3.9
ORD00032,2024-09-24,Coimbatore,Tamil Nadu,Sports,Cricket Bat,1,6308.0,6308.0,UPI,3.2
ORD00033,2024-06-02,Hyderabad,Telangana,Grocery,Cooking Oil,1,157.41,157.41,Credit Card,4.8
ORD00034,2024-02-07,Jaipur,Rajasthan,Electronics,Smartphone,5,36933.7,184668.5,Credit Card,3.8
ORD00035,2024-10-05,Nagpur,Maharashtra,Home & Kitchen,Mixer Grinder,1,13225.27,13225.27,Debit Card,4.0
ORD00036,2024-12-05,Ahmedabad,Gujarat,Grocery,Tea Powder,3,53.52,160.56,UPI,4.7
ORD00037,2024-04-17,Noida,Uttar Pradesh,Electronics,Smartphone,1,59522.13,59522.13,Debit Card,3.0
ORD00038,2024-02-17,Hyderabad,Telangana,Home & Kitchen,Air Purifier,4,7481.42,29925.68,Debit Card,4.6
ORD00039,2024-08-14,Mumbai,Maharashtra,Electronics,Headphones,2,61803.98,123607.96,Debit Card,3.6
ORD00040,2024-01-19,Mumbai,Maharashtra,Electronics,Smartphone,2,75631.55,151263.1,Cash on Delivery,4.0
ORD00041,2024-01-21,Nagpur,Maharashtra,Books,Fiction Novel,1,129.28,129.28,Cash on Delivery,3.0
ORD00042,2024-11-13,Delhi,Delhi,Grocery,Basmati Rice,2,209.16,418.32,Net Banking,4.8
ORD00043,2024-06-19,Delhi,Delhi,Clothing,Jeans,1,4430.8,4430.8,Net Banking,3.5
ORD00044,2024-01-20,Hyderabad,Telangana,Grocery,Toor Dal,3,170.06,510.18,Cash on Delivery,3.1
ORD00045,2024-01-13,Surat,Gujarat,Books,Self-Help Book,3,313.63,940.89,Debit Card,3.5
ORD00046,2024-10-01,Noida,Uttar Pradesh,Electronics,Headphones,2,28416.12,56832.24,UPI,2.6
ORD00047,2024-11-01,Jaipur,Rajasthan,Home & Kitchen,Pressure Cooker,5,8834.67,44173.35,Credit Card,4.3
ORD00048,2024-04-07,Gurgaon,Haryana,Books,Python Programming,1,788.97,788.97,UPI,4.3
ORD00049,2024-04-10,Mumbai,Maharashtra,Sports,Running Shoes,4,6962.51,27850.04,Credit Card,2.7
ORD00050,2024-06-02,Hyderabad,Telangana,Home & Kitchen,Air Purifier,3,4914.56,14743.68,Credit Card,4.2
ORD00051,2024-07-13,Gurgaon,Haryana,Books,Self-Help Book,1,488.09,488.09,Debit Card,4.8
ORD00052,2024-04-17,Coimbatore,Tamil Nadu,Sports,Yoga Mat,3,4238.93,12716.79,Credit Card,3.9
ORD00053,2024-03-27,Hyderabad,Telangana,Home & Kitchen,Curtains,2,6794.25,13588.5,Debit Card,3.2
